,id_arr,coord_x,coord_y
0,0.0,794418.8750673383,982086.8124914244
1,1.0,794433.1873746701,987364.8750980124
2,1.0,794365.125174839,987361.8124400899
3,1.0,794268.1873765886,987343.8124760911
4,1.0,794218.0001410022,987343.3124770969
5,1.0,794006.8749070875,987322.3125190958
6,1.0,793813.6876294203,987298.874901928
7,2.0,793047.6248570867,982750.3124767616
8,2.0,793652.6249594204,983338.8749479279
9,2.0,794135.9999769218,983824.8749601766
10,2.0,794355.6875296719,984027.1248837635
11,3.0,794283.1250107549,980322.8750744238
12,3.0,794293.3749902546,980293.0001341775
13,3.0,794293.6249897555,980255.3752094284
14,4.0,794367.187506672,981762.5001479238
15,4.0,794284.8750072531,981831.1250106767
16,4.0,794182.8125473373,981936.6874635965
17,4.0,794003.6249135882,982125.6874136776
18,5.0,794517.3125345036,987172.8748258427
19,5.0,794488.9999270886,987250.9999976754
20,5.0,794433.1873746701,987364.8750980124
21,5.0,794336.499904003,987579.6249965951
22,5.0,794058.0001329221,988141.0001861751
23,5.0,793855.3125461712,988582.1249600947
24,5.0,793784.3123600855,988755.8749406785
25,5.0,793612.1250404194,989110.1248883456
26,5.0,793552.8751589209,989248.8749389276
27,5.0,793529.8748768382,989294.3748479262
28,6.0,794671.499890171,980279.1874977574
29,6.0,794630.8123075031,980247.6248968467
30,6.0,794462.312644504,980153.1250858456
31,6.0,794326.6249237545,980075.3125774264
32,6.0,794262.8750512525,980031.62500076
33,7.0,794003.6249135882,982125.6874136776
34,7.0,794308.6249597557,982315.8750254288
35,8.0,792678.874938421,979490.8750980124
36,8.0,792877.3748695031,979629.6874844283
37,8.0,793612.8750389218,980181.6250288412
38,8.0,793682.1249004193,980225.3749413416
39,8.0,793919.8124171719,980342.6250349283
40,8.0,794457.8126535043,980540.3126316741
41,8.0,794542.3124845028,980581.687548928
42,9.0,794494.3749163374,967833.3751190901
43,9.0,794443.1250188388,967865.8123901784
44,9.0,794372.8751593381,967934.8749160916
45,10.0,794045.6874935031,977839.9997908399
46,11.0,792889.3125096709,973793.3750100955
47,11.0,793675.3749139197,975108.6250042617
48,11.0,794081.1250866689,975759.0000158399
49,12.0,794510.9998830855,962615.3750564232
50,12.0,794456.6249918379,962557.125172928
51,12.0,794320.1249367557,962394.8748412579
52,12.0,794223.6251297556,962289.5000520125
53,13.0,793534.4998675883,971772.3124511763
54,13.0,793629.6250054203,971899.8125242591
55,13.0,793696.3125360869,971968.375051178
56,13.0,793810.3749720044,972111.8124283403
57,13.0,793944.1250325888,972291.0000620931
58,13.0,794258.0000610054,972750.625127092
59,14.0,795030.6874920055,967693.1250715107
60,14.0,794835.3748905025,967630.6248684302
61,14.0,794772.1873528361,967615.6248984262
62,14.0,794699.812497586,967605.1249194294
63,14.0,794507.3125545047,967542.6877083406
64,14.0,794275.3750262521,967453.8748938441
65,14.0,793993.3749340884,967394.125013344
66,14.0,793721.3751500025,967385.8126940131
67,15.0,795019.6248500869,967921.8749420941
68,15.0,794699.6874978356,967877.3123671785
69,15.0,794494.3749163374,967833.3751190901
70,15.0,794277.8750212528,967767.4999227598
71,15.0,794158.8749311715,967733.1249915138
72,15.0,794043.3751621693,967713.5000307634
73,15.0,793749.6250935048,967728.0000017583
74,16.0,794085.3750781715,967298.6248762608
75,16.0,794252.3124083355,967156.6248321757
76,17.0,793968.6249835864,965095.6873530075
77,17.0,794283.3750102557,965289.8749567568
78,17.0,794586.3750604205,965494.3748758435
79,17.0,794900.3750885874,965688.8748149276
80,18.0,794244.6250877529,944151.8749100119
81,19.0,794395.8124494217,950042.3749400079
82,20.0,791963.1250575855,943690.3125129268
83,20.0,792456.1250558384,943832.3748928457
84,20.0,792771.0000822544,943908.8124040067
85,20.0,793011.187594004,943975.187599346
86,20.0,793108.187400002,944009.1251955107
87,20.0,793119.8123767525,944017.4998506755
88,20.0,793327.3126179203,944082.0000497624
89,20.0,793621.8750209212,944155.3125671744
90,20.0,794075.812433254,944247.8123821765
91,21.0,793595.6250734217,942402.3748000935
92,21.0,793719.8751530051,942414.6251036748
93,21.0,793980.3126242533,942415.0001029298
94,21.0,794097.8123892546,942395.0001429245
95,22.0,794217.8751412556,952724.3748253435
96,22.0,794267.8123773374,952731.3751394302
97,22.0,794330.3125804216,952738.3751254231
98,22.0,794641.3126145862,952793.3750154302
99,22.0,794797.1249670051,952807.9999861792
100,23.0,794970.8749475889,952651.3123074248
101,23.0,794871.3751465864,952635.3750033453
102,23.0,794769.8126856722,952629.5000150949
103,23.0,794457.8749893382,952618.8750363439
104,24.0,794037.8125092536,931291.8123755902
105,25.0,794536.3124965057,936211.6873783469
106,25.0,794259.3750582524,935918.1249733418
107,26.0,795074.3124047555,932772.8750302568
108,26.0,794949.8126537539,932659.3125933409
109,26.0,794644.1249449216,932419.6250805929
110,26.0,794467.3126345053,932277.375037007
111,26.0,793873.3751740865,931857.874891758
112,26.0,793451.3126980029,931593.125093177
113,26.0,793040.6248710863,931349.8125876784
114,27.0,794014.3748920858,931732.8751417622
115,27.0,794096.187392503,931718.0001715124
116,27.0,794504.8125595041,931600.1874150112
117,28.0,794288.5000000037,931065.125164926
118,28.0,794592.8123835027,931297.1250290126
119,28.0,794818.3125886694,931451.8123836741
120,29.0,794564.1251049191,939347.0000053421
121,29.0,794406.3750923388,939416.6248660907
122,29.0,794252.3750722557,939467.125093177
123,29.0,794101.3127103373,939508.0000114292
124,30.0,793544.124848336,959266.8125278428
125,30.0,793613.3750379197,959324.1250772625
126,30.0,793852.8752150871,959549.6249543428
127,30.0,794014.1875565052,959691.9999976754
128,30.0,794123.125002671,959804.6251005083
129,30.0,794226.8124593385,959907.6875584275
130,31.0,794118.312348254,961383.6248952597
131,31.0,795699.4998026714,963056.6874940097
132,32.0,793611.3127060868,955625.9999275953
133,32.0,793928.8123991713,955831.6875083447
