fracture_id,point_idx,coord_x,coord_y,prev_angle,next_angle,prev_length,next_length,curvature,closest_seg_0_p1_x,closest_seg_0_p1_y,closest_seg_0_p2_x,closest_seg_0_p2_y,closest_seg_1_p1_x,closest_seg_1_p1_y,closest_seg_1_p2_x,closest_seg_1_p2_y,closest_seg_2_p1_x,closest_seg_2_p1_y,closest_seg_2_p2_x,closest_seg_2_p2_y,closest_seg_3_p1_x,closest_seg_3_p1_y,closest_seg_3_p2_x,closest_seg_3_p2_y
1.0,0,794433.1873746701,987364.8750980124,0.0,-3.09662506021203,0.0,68.13107161483494,0.0,794517.3125345036,987172.8748258428,794517.3125345036,987172.8748258428,793870.3125161715,987955.9999000132,793870.3125161715,987955.9999000132,793585.8750929199,988019.3751013428,793585.8750929199,988019.3751013428,793158.374963671,987272.6872902588,793158.374963671,987272.6872902588
1.0,1,794365.125174839,987361.81244009,0.0449675933777634,-2.957997949519506,68.13107161483494,98.59480429315768,0.0,794517.3125345036,987172.8748258428,794488.9999270886,987250.9999976754,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793158.374963671,987272.6872902588,792858.8749065027,987042.375086844
1.0,2,794268.1873765886,987343.8124760912,0.18359470407028716,-3.131630310633315,98.59480429315768,50.189726187674296,0.01805329564568998,794488.9999270886,987250.9999976754,794433.1873746701,987364.8750980124,794517.3125345036,987172.8748258428,794488.9999270886,987250.9999976754,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468
1.0,3,794218.0001410022,987343.3124770968,0.009962342956478234,-3.0424519188323953,50.189726187674296,212.16706302246874,0.02001543269173123,794433.1873746701,987364.8750980124,794336.499904003,987579.6249965952,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,794488.9999270886,987250.9999976754,794433.1873746701,987364.8750980124,794517.3125345036,987172.8748258428,794488.9999270886,987250.9999976754
1.0,4,794006.8749070875,987322.3125190958,0.09914073475739807,-3.0208619725981687,212.16706302246874,194.60381843884525,0.011641751382583696,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,794433.1873746701,987364.8750980124,794336.499904003,987579.6249965952,794336.499904003,987579.6249965952,794058.0001329221,988141.0001861752,794488.9999270886,987250.9999976754,794433.1873746701,987364.8750980124
1.0,5,793813.6876294203,987298.874901928,0.12073068099162466,0.0,194.60381843884525,0.0,0.007670618298030326,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,794433.1873746701,987364.8750980124,794336.499904003,987579.6249965952,794336.499904003,987579.6249965952,794058.0001329221,988141.0001861752,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468
2.0,0,793047.6248570867,982750.3124767616,0.0,0.7716271283181146,0.0,844.0562222324296,0.0,792988.8749745861,982422.8748114258,792988.8749745861,982422.8748114258,792798.6250270046,982185.8122934252,792798.6250270046,982185.8122934252,792295.3127134219,982747.9998173416,792295.3127134219,982747.9998173416,792860.6249030046,983548.87485601,792860.6249030046,983548.87485601
2.0,1,793652.6249594204,983338.874947928,-2.3699655252716787,0.78810608164421,844.0562222324296,685.4541702040834,0.0,792860.6249030046,983548.87485601,792952.3750475869,983444.875064008,794344.1248887554,982612.6250880955,794348.812543422,982672.6249680966,792988.8749745861,982422.8748114258,793109.3123977557,982310.375036426,794003.6249135882,982125.6874136776,794308.6249597557,982315.8750254288
2.0,2,794135.9999769218,983824.8749601766,-2.353486571945583,0.7440941487309477,685.4541702040834,298.6095317036355,0.0020432804238370095,794348.812543422,982672.6249680966,794480.8749433383,983146.6873401776,794344.1248887554,982612.6250880955,794348.812543422,982672.6249680966,792860.6249030046,983548.87485601,792952.3750475869,983444.875064008,794003.6249135882,982125.6874136776,794308.6249597557,982315.8750254288
2.0,3,794355.6875296719,984027.1248837636,-2.3974985048588455,0.0,298.6095317036355,0.0,0.0031483885887989287,794348.812543422,982672.6249680966,794480.8749433383,983146.6873401776,794344.1248887554,982612.6250880955,794348.812543422,982672.6249680966,792860.6249030046,983548.87485601,792952.3750475869,983444.875064008,795786.6249565035,983378.9998676776,795908.3750410862,983379.3125310912
